PMID,Title,Abstract,Authors,Journal,Keywords,URL,Affiliations
39683742,A New Demand for Improved Selectivity and Potency of Cyanine Dyes as Antiproliferative Agents Against Colorectal Cancer Cells.,"Cancer treatment remains a significant challenge, with chemotherapy still being one of the most common therapeutic approaches. Based on our initial studies of symmetric monomethine cyanine dyes, which showed potential against colorectal cancer, this study explored several asymmetric cyanines, aiming to develop more potent and selective antitumor agents, particularly against colorectal cancer. In pursuit of this goal, we have designed, synthesized, and structurally characterized twelve new cyanine dyes. Their antiproliferative effects were then investigated in vitro against both tumor and non-tumor cell lines. Notably, the two most promising dyes in terms of potency and selectivity against Caco-2 colorectal cancer cells were derived from the combination of <i>N</i>-methylbenzoxazole and <i>N</i>-methylquinoline (dye <b>5</b>), as well as <i>N</i>-ethylbenzothiazole and <i>N</i>-ethyl-6-nitrobenzothiazole (dye <b>10</b>). The potential mechanisms behind their antiproliferative action were also explored, revealing that both dyes penetrate cells and localize within the cytoplasm and nucleus. Furthermore, dye <b>5</b> was found to slightly induce apoptosis without causing significant cell cycle arrest, in contrast to dye <b>10</b>, which increased the number of cells in the G0/G1 phase. Interestingly, both dyes exhibited marked topoisomerase II inhibitory effects, particularly cyanine <b>5</b>, which may further explain their antiproliferative activity. Additionally, drug-likeness properties were predicted for both dyes. Overall, cyanine <b>5</b> emerged as the most promising candidate for further investigation as a potential treatment for colorectal cancer.",,,"Humans, Colorectal Neoplasms, Cell Proliferation, Carbocyanines, Antineoplastic Agents, Apoptosis, Caco-2 Cells, Cell Line, Tumor, Coloring Agents, DNA Topoisomerases, Type II, Drug Screening Assays, Antitumor, Structure-Activity Relationship, Molecular Structure, Topoisomerase II Inhibitors",,
39671995,Visual and real-time detection of the critical micelle concentration of nonionic surfactants using a supramolecular aggregate probe responsive to stable micelles.,"The critical micelle concentration (CMC) is considered one of the important parameters for evaluating and comparing surfactants. We have developed a novel method for detecting the CMC of nonionic surfactants, based on the environmentally responsive characteristics of cyanine dyes probes. Notably, this method exhibits high sensitivity, visual real-time monitoring capabilities, and robust anti-interference properties. The method remains effective even under alterations in pH (2-12), metal ion concentrations (0-150 mM of K<sup>+</sup>, Na<sup>+</sup>, Ca<sup>2+</sup>) and salinity levels (0-20 g/L). Furthermore, the method has been successfully applied to the analysis of real water such as lake water, water flooding, and oil-field sewage containing polymers, demonstrating its good applicability. This marks the first instance where we establish the application of detecting the CMC of nonionic surfactants using cyanine dye probes, offering a fresh perspective for developing highly sensitive, visual, real-time, and interference-resistant CMC detection methodologies.",,,,,
39643290,Conjugated polymer-boosted near-infrared electrochemiluminescence of organic dye for detecting acetamiprid.,"The near-infrared electrochemiluminescence (NIR-ECL) has excellent penetration and near zero background interference, and has shown unique advantages in clinical medicine and bioimaging. Among various types of NIR-ECL emitters, NIR organic dyes have arouse the concern of researchers due to their adjustable structure and diverse optical properties. However, the currently available NIR dyes usually have inherent self-quenching effect and poor photostability, so their ECL efficiency is low, and it is a great challenge to improve their ECL performance. Conjugated polymer-boosted NIR-ECL strategy was creatively developed to overcome ECL performance limitations of NIR dyes. IR 783, as one of heptamethine cyanine dyes, was performed a nanoprecipitation in the presence of poly[(9,9-dlhexyfluoren-2,7-dlyl)-co-(anthracen-9,10-dlyl)] (PFAD) to prepare IR polymer nanoparticles (IR PNPs). Due to resonance energy transfer (RET) from PFAD to IR 783 and encapsulation of IR 783 by PFAD, the resulting IR PNPs exhibited a strong and stable NIR-ECL emission with a maximum ECL wavelength of 802 nm under coreactant tripropylamine (TPrA) and H<sub>2</sub>O<sub>2</sub> can effectively quench it. IR PNPs coupled proximity ligation assay (PLA)-induced DNA walker to achieve acetamiprid (ACE) analysis. ACE triggered PLA to form bipedal DNA walker, and further release G-rich secondary target (ST). With ST and hemin being captured on IR PNPs modified electrode, hemin/G-quadruplex was assembled to consume H<sub>2</sub>O<sub>2</sub>, thereby restoring ECL signal for ACE detection with a limit of detection of 4.74 × 10<sup>-15</sup> M. This work opens up a new and simple way to boost NIR-ECL of organic dyes, and IR PNPs create a promising NIR-ECL platform for pesticide detection.",,,"Polymers, Electrochemical Techniques, Neonicotinoids, Luminescent Measurements, Infrared Rays, Fluorescent Dyes, Limit of Detection, Coloring Agents",,
39642627,Fluorescence enhancement of cyanine/hemicyanine dyes with adamantane as an auxochrome through host-guest inclusion with methylated cyclodextrin in water.,"Fluorescence of cyanine dyes is often quenched in aqueous solution, limiting their application in water or biological system. In this work, a novel strategy of host-guest interaction based on cyanine derivatives containing auxochromes was proposed to enhance fluorescence in aqueous solution and cell imaging. By using the host (methylated β-cyclodextrin, M-β-CD) to inclusion and suppress the TICT effect of the dye, the fluorescence was significantly enhanced at lower host concentration. Cyanine and hemicyanine dyes (Ad-NH-1a, Ad-NH-1b and Ad-NH-2) with adamantyl group as auxochrome were designed and prepared by using host-guest complexation to inhibit the TICT effect of dyes, thus realizing the purpose of significantly enhancing the fluorescence of dyes at lower concentration. After adding M-β-CD, the fluorescence quantum yields of these dyes increased to 15.9 %, 21.8 %, and 6.08 %, respectively. In comparison, the fluorescence quantum yield of the dyes Ad-CONH-1 and Ad-CONH-2 containing adamantyl groups, increased only modestly from 1.78 to 2.83 times. Encouraged by these satisfactory results, further cell experiments were conducted with Ad-NH-1a, Ad-NH-1b, and Ad-NH-2. The experiment showed that adding a lower concentration of M-β-CD significantly reduced the clear imaging dosage of the probe (0.3 μM) without altering the organelle targeting of the probes.",,,,,
39607701,Self-Assembly of a Perfluorinated Amphiphilic Cyanine Dye into Branched Tubular J-Aggregates.,"The self-assembly process is governed by the individual constituents of molecules through precise non-covalent interactions. Amphiphilic cyanines are intriguing in supramolecular chemistry due to the large polarizability of their delocalized π-electron systems, their tuneable optical properties and their ability to form well-defined self-assembled structures in different media. Here we present the synthesis of a novel tetrahydroxy amphiphilic carbocyanine dye with perfluoro alkylated chains -(CH<sub>2</sub>)<sub>2</sub>-(CF<sub>2</sub>)<sub>5</sub>-CF<sub>3</sub> as hydrophobic segments and aminoproanediol as hydrophilic segment. The target molecule was synthesized in a multi-step process, which illustrates the complexity and precision required to achieve the desired structure. This study focuses on the comparison of the influence of C<sub>8</sub>H<sub>17</sub> and C<sub>8</sub>H<sub>4</sub>F<sub>13</sub> tails and the effects of carboxylated and non-ionic aminopropanediol head groups as substituents on self-assembly of the TBC dye. Absorption and fluorescence measurements show similar spectroscopic properties to cyanine dyes studied previously. Cryogenic transmission electron microscopy (cryo-TEM) reveals formation of multiple supramolecular aggregates. As supramolecular assembly is very sensitive to sample preparation, multilamellar or multivesicular vesicles are obtained preferentially in vigorously vortexed solutions. Moreover, time-dependent tube formation was observed in gently mixed solutions. Thereby, we could follow the growing mechanism of the unprecedented Y-junctions of supramolecular tubes.",,,,,
39589839,Deep-Red and Near-Infrared Compact Cyanine Dyes for Sensitive NAD(P)H Sensing in Live Cells and Kidney Disease Tissues.,"Cyanine dyes constructed for NAD(P)H near-infrared sensing utilize extended π-conjugation but often exhibit delayed fluorescence responses to NAD(P)H due to reduced positive charge density in 3-quinolinium acceptors. This study introduces deep-red and near-infrared compact cyanine dyes represented by probes <b>A</b> and <b>B</b> for mitochondrial NAD(P)H detection in live cells. Probes <b>A</b> and <b>B</b> feature a unique structural design with a double bond connection linking 3-quinolinium to strategically positioned 1-methylquinolinium acceptor units at 2- and 4-positions, correspondingly. Probe <b>A</b> absorbs at 359 and 531 nm, while probe <b>B</b> absorbs at 324 and 370 nm, emitting subtle fluorescence at 587 and 628 nm, respectively, with no NADH present. Upon NADH exposure, probes <b>A</b> and <b>B</b> exhibit significant emission enhancements at 612 and 656 nm, correspondingly, attributed to the efficient reduction of 3-quinolinium units to electron-donative 1-methyl-1,4-dihydroquinoline units. Probe <b>B</b>, chosen for its near-infrared emission and fast response to NAD(P)H, effectively monitored dynamic intracellular NAD(P)H levels throughout diverse experimental conditions. In HeLa cells, minimal basal fluorescence increased upon NADH stimulation. It also identified increased NAD(P)H levels following chemical treatments with acesulfame potassium, cisplatin, carboplatin, and temozolomide, CoCl<sub>2</sub>-induced hypoxia, and TLR4 activation in macrophages and in disease models of kidney pathology, where diseased tissues exhibited higher fluorescence than normal tissues. In fruit fly larvae under starvation conditions, probe <b>B</b> tracked NAD(P)H increases triggered by exogenous NADH, demonstrating its in vivo applicability for metabolic studies. These findings highlight probe <b>B</b>'s utility in elucidating dynamic NAD(P)H fluctuations in diverse biological contexts, offering insights into mitochondrial function and cellular metabolism.",,,"Humans, Fluorescent Dyes, Animals, Carbocyanines, Molecular Structure, Kidney Diseases, Biocompatible Materials, Mice, Materials Testing, NADP, NAD, Optical Imaging",,
39576179,Design strategies and applications of cyanine dyes in phototherapy.,"Cyanine dyes have been widely used in phototherapy in recent years due to their excellent optical properties and diverse modifiable structures. This review provides detailed descriptions of the basic structures of various cyanines and their derivatives as well as their optical properties. It summarizes the strategies for constructing cyanine dyes for phototherapy and discusses their structure-effect relationship. Furthermore, a comprehensive classification and summary of the applications of cyanine dyes in phototherapy are presented. Importantly, this review also addresses both the advances made in this field as well as the challenges that need to be overcome. We hope that these profound insights into phototherapy using cyanine dyes will facilitate the design of future systems for clinical applications based on these compounds.",,,,,
39535644,"Benzo[c,d]Indole-Quinoline-Based Deep-Red Emissive Probes for Live-Cell Imaging of Nucleolar RNA.","Small molecular weight fluorescent probes capable of binding to RNAs have been powerful tools for understanding the intracellular behaviors of RNAs. In this chapter, we describe the fluorescence imaging of nucleolar RNA in living cells using deep-red emissive probes with benzo[c,d]indole-quinoline (BIQ) monomethine cyanine scaffolds. These probes feature a significant fluorescence ""off-on"" ability upon binding to RNAs (>100-fold) in the deep-red spectral region (λ<sub>em</sub> > 650 nm). In addition, they have many advantages for fluorescence sensing of RNAs and nucleolar RNA imaging, such as longer emission wavelength, higher photostability, and better counterstaining compatibility for live cell imaging, compared to a commercially available RNA-binding probe, SYTO RNA select.",,,"Humans, Fluorescent Dyes, Quinolines, Indoles, Microscopy, Fluorescence, HeLa Cells, RNA, Molecular Imaging",,
39532204,Pentamethine cyanine dyes with alkynyl group as perspective structure for conjugation with targeting moiety.,"We report a modified carbocyanine-based asymmetric fluorescent dye, suitable for the azide-alkyne cycloaddition reaction, that possesses promising photochemical properties (Φ<sub>fl</sub> = 0,49). As an example of usage of the new fluorophore, it was conjugated to a ligand targeting prostate-specific membrane antigen (PSMA), one of the widely utilized prostate cancer markers.",,,"Carbocyanines, Fluorescent Dyes, Alkynes, Humans, Cycloaddition Reaction, Glutamate Carboxypeptidase II, Molecular Structure, Antigens, Surface, Azides, Male, Prostatic Neoplasms, Ligands",,
39530389,Dye-to-Er<sup>3+</sup> Direct Energy Transfer for Enhancing Up- and Down-conversion Luminescence in Sub-10 nm NaErF<sub>4</sub>.,"Dye sensitization enhances the luminescence of lanthanide nanoparticles by improving light-harvesting. Typically, Yb<sup>3+</sup> serves as an energy bridge but absorbs at a single transition, limiting dyes' options (λ<sub>ex</sub> > 700 nm) due to the spectral overlap requirement. In contrast, the emitter Er<sup>3+</sup> spans energy levels from UV to NIR, making it ideal for multicolor excitation. We developed a strategy to directly sensitize Er<sup>3+</sup> upconversion (UCL) and downconversion luminescence (DCL) by using cyanine dyes. Cy5 demonstrated the greatest enhancement, achieving a 1942-fold UCL and 70-fold DCL increase compared to nanoparticles alone (Er-NPs) under 980 nm excitation. Smaller Er-NPs exhibited brighter dye-sensitized luminescence due to enhanced interfacial energy transfer. A 2 nm inert shell produced the brightest UCL, while thicker shells improved DCL. Dye-sensitized Er<sup>3+</sup> emissions at <sup>2</sup>H<sub>11/2</sub> (525 nm) and <sup>2</sup>P<sub>3/2</sub> (408 nm) enabled temperature monitoring with a maximum sensitivity (<i>S</i><sub>a</sub>) of 3.69%/K. This approach holds significant potential for optical temperature sensing and medical imaging.",,,,,
39519736,Tripodal Quinone-Cyanine G-Quadruplex Ligands as Novel Photosensitizers on Photoinduced Cancer Cell Death.,"Guanine-quadruplex (G4) selective photosensitizers have huge potential for photodynamic therapy against various diseases correlated with G4 DNA and G4 RNAs; however, the types of photosensitizer skeletons available are limited. Herein, we investigated the ability of our original G4 ligands, tripodal quinone-cyanine dyes (tpQCy(s)), which were developed as fluorescent probes for G4, to act as photosensitizers for cancer-selective apoptosis inducers. The results indicated that the tpQCy skeleton has great potential for developing G4-targeted cancer-selective photosensitizers for photodynamic therapy. Among the two tpQCys, only QCy(BnBT)<sub>3</sub>, which has greater G4 selectivity, exhibited photoinduced cytotoxicity in HeLa cell growth, suggesting that the direct oxidation of G4 DNA or RNA is crucial for photoinduced cytotoxicity. RNA-seq analysis using a next-generation sequencing technique revealed that apoptosis was clearly induced by photoirradiation after QCy(BnBT)<sub>3</sub> treatment.",,,"Humans, G-Quadruplexes, Photosensitizing Agents, HeLa Cells, Ligands, Apoptosis, Photochemotherapy, Carbocyanines, Quinones, Neoplasms, Benzoquinones",,
39508506,Exchange of free and capsule conjugated cyanine dyes between cells.,"Fluorescent dyes (especially photoconvertible cyanine dyes) are traditionally used as labels to study single-cell or cell-group interactions and migration. Nevertheless, their application has some disadvantages, such as cytotoxicity and dye transfer between cells during co-cultivation. The latter can lead to serious distortions in research results. At the same time, the lack of a worthy alternative explains the reasons for hushing up this serious problem. Here, we propose low-cytotoxicity encapsulated forms of cyanine 3.5 and cyanine 5.5, enabling intracellular uptake and facilitating single-cell labeling and tracking as an efficient alternative to existing staining. Only 16.9% of myoblasts (C2C12) exchanged encapsulated dyes compared with 99.7% of cells that exchanged the free form of the same dyes. Simultaneous application of several encapsulated cyanine dyes, combined with the possibility of photoconversion, provides multi-color coding of individual cells. Encapsulation of cyanine dyes allows reliable labeling and reduces the transfer of the dyes between cells.",,,"Carbocyanines, Fluorescent Dyes, Animals, Mice, Cell Line, Molecular Structure",,
39483716,Deep near infrared light-excited stable synergistic photodynamic and photothermal therapies based on P-IR890 nano-photosensitizer constructed <i>via</i> a non-cyanine dye.,"The cyanine dyes represented by IR780 can achieve synergistic photodynamic therapy (PDT) and photothermal therapy (PTT) under the stimulation of near-infrared (NIR) light (commonly 808 nm). Unfortunately, the stability of NIR-excited cyanine dyes is not satisfactory. These cyanine dyes can be attacked by self-generated reactive oxygen species (ROS) during PDT processes, resulting in structural damage and rapid degradation, which is fatal for phototherapy. To address this issue, a novel non-cyanine dye (IR890) was elaborately designed and synthesized by our team. The maximum absorption wavelength of IR890 was located in the deep NIR region (<i>ca.</i> 890 nm), which was beneficial for further improving tissue penetration depth. Importantly, IR890 exhibited good stability when continuously illuminated by deep NIR light. To improve the hydrophilicity and biocompatibility, the hydrophobic IR890 dye was grafted onto the side chain of hydrophilic polymer (POEGMA-b-PGMA-g-C[bond, triple bond]CH) <i>via</i> click chemistry. Then, the synthesized POEGMA-<i>b</i>-PGMA-<i>g</i>-IR890 amphiphilic polymer was utilized to prepare P-IR890 nano-photosensitizer <i>via</i> self-assembly method. Under irradiation with deep NIR light (850 nm, 0.5 W/cm<sup>2</sup>, 10 min), the dye degradation rate of P-IR890 was less than 5%. However, IR780 was almost completely degraded with the same light output power density and irradiation duration. In addition, P-IR890 could stably generate a large number of ROS and heat at the same time. It was rarely reported that the stable synergistic combination therapy of PDT and PTT could be efficiently performed by a single photosensitizer <i>via</i> irradiation with deep NIR light. P-IR890 exhibited favorable anti-tumor outcomes through apoptosis pathway. Therefore, the P-IR890 could provide a new insight into the design of photosensitizers and new opportunities for synergistic combination therapy of PDT and PTT.",,,,,
39483637,Fluorescent Water-Soluble Polycationic Chitosan Polymers as Markers for Biological 3D Imaging.,"Over the last decades, various tissue-clearing techniques have broken the ground for the optical imaging of whole organs and whole-organisms, providing complete representative data sets of three-dimensional biological structures. Along with advancements in this field, the development of fluorescent markers for staining vessels and capillaries has offered insights into the complexity of vascular networks and their impact on disease progression. Here we describe the use of a modified water-soluble chitosan linked to cyanine dyes in combination with ethyl cinnamate-based optical tissue clearing for the 3D visualization of tissue vasculature in depth. The water-soluble fluorescent Chitosans have proven to be an optimal candidate for labeling both vessels and capillaries <i>ex vivo</i> thanks to their increased water solubility, high photostability, and optical properties in the near-infrared window. In addition, the nontoxicity of these markers broadens their applicability to <i>in vitro</i> and <i>in vivo</i> biological applications. Despite the availability of other fluorescent molecules for vascular staining, the present study, for the first time, demonstrates the potential of fluorescent chitosans to depict vessels at the capillary level and opens avenues for advancing the diagnostic field by reducing the complexity and costs of the currently available procedures.",,,,,
39431849,The electrochemical modulation of single molecule fluorescence.,"Recently it has been shown that electrochemistry, instead of using high intensity lasers, can be used to modulate the intensity of emission of fluorophores and even switch fluorophores between their ON and OFF states as required for single molecule localisation microscopy. This modulation of fluorescence does not necessarily correlate with direct oxidation and reduction of the dyes. Questions arise from this unexpected observation related to what is the electrochemistry that occurs, what are the important variables in switching fluorophores electrochemically and what range of dyes can be modulated with electrochemistry. Herein we seek to answer some of these questions. We demonstrate how to effectively modulate the fluorescence intensity of organic dye-labelled cell samples on an indium tin oxide surface using electrochemistry with redox-active mediators present in an oxygen scavenger buffer. We showed the electrochemical fluorescence modulation is sensitive to the applied potential and the excitation laser intensity, indicating the possibility of coupled photochemical and electrochemical reactions occurring. We also compared the electrochemical fluorescence modulation of representative oxazine, rhodamine, and cyanine dyes using ATTO 655, Alexa Fluor 488, and Alexa Fluor 647. Different dyes with distinctly different structural cores show fluorescence modulation to different extents. The electrochemical fluorescence modulation will be applicable in fluorescence imaging techniques as well as biosensing.",,,,,
39423274,Multivalent supramolecular fluorescent probes for accurate disease imaging.,"Optical imaging is a powerful tool for early disease detection and effective treatment planning, but its accuracy is often compromised by the uptake of imaging materials by the mononuclear phagocyte system (MPS). Herein, we leverage multivalent host-guest interactions between cyanine dyes and β-cyclodextrin polymers to develop supramolecular probes with enhanced stability, optical, and transport profiles for accurate in vivo imaging. These multivalent interactions not only ensure the stability of the probes but also enhance fluorescence efficiency by minimizing nonradiative decay. Our self-assembly approach effectively modulates probe size and surface properties, enabling evasion of MPS clearance and promoting prolonged bloodstream circulation, thereby improving the signal-to-background ratio for imaging. The effectiveness of our design is demonstrated by substantial advancements in the early diagnosis of acute kidney injury and by providing high-contrast imaging and precise surgical navigation across various tumor models. Our strategy not only advances optical imaging materials toward clinical translation but also establishes a versatile platform applicable to multiple imaging modalities.",,,"Fluorescent Dyes, Animals, Humans, Optical Imaging, Mice, beta-Cyclodextrins, Neoplasms, Acute Kidney Injury, Carbocyanines",,
39377322,No more gap-shifting: Stochastic many-body-theory based TDHF for accurate theory of polymethine cyanine dyes.,"We introduce an individually fitted screened-exchange interaction for the time-dependent Hartree-Fock (TDHF) method and show that it resolves the missing binding energies in polymethine organic dye molecules compared to time-dependent density functional theory (TDDFT). The interaction kernel, which can be thought of as a dielectric function, is generated by stochastic fitting to the screened-Coulomb interaction of many-body perturbation theory (MBPT), specific to each system. We test our method on the flavylium and indocyanine green dye families with a modifiable length of the polymethine bridge, leading to excitations ranging from visible to short-wave infrared. Our approach validates earlier observations on the importance of inclusion of medium range exchange for the exciton binding energy. Our resulting method, TDHF@vW, also achieves a mean absolute error on a par with MBPT at a computational cost on a par with local-functional TDDFT.",,,,,
39371456,Next-generation red ultra-bright fluorescent dyes for nuclear imaging and peripheral blood leukocytes sorting.,"The nucleus is a membrane-bound organelle in eukaryotic cells and plays a crucial role in cellular processes. Visualizing nuclear morphology is essential for investigating nuclear functions and understanding the relationship between nuclear morphological alterations and multiple diseases. Fluorescent dyes have been developed to visualize nuclear morphology, but the selection of red nuclear-labeling fluorescent dyes remains limited (high price, unknown structure, or high toxicity). Herein, we have developed a red ultra-bright nuclear-targeted dye, BPC1, through the engineering of unsymmetrical cyanine dyes derived from D-π-A systems. BPC1 exhibits ultrahigh fluorescence brightness and exceptional cell permeability, and selectively stains nuclear DNA rather than mitochondrial DNA, enabling the visualization of the nucleus in diverse cells at extremely low doses (100 nM) and laser power (0.8 μW). Furthermore, BPC1 is utilized for nuclear staining in blood cells, aiding in the distinct visualization of the white blood cell nucleus and facilitating the identification and enumeration of various leukocyte types. Our study implies considerable commercial potential for BPC1 and underscores its capacity to serve as a powerful tool in life sciences and cell biology research.",,,,,
