PMID,Title,DOI
39710971,Structure-Based Discovery and Development of Highly Potent Dihydroorotate Dehydrogenase Inhibitors for Malaria Chemoprevention.,10.1021/acs.jmedchem.4c02394
39698280,Off-Target Inhibition of Human Dihydroorotate Dehydrogenase (hDHODH) Highlights Challenges in the Development of Fat Mass and Obesity-Associated Protein (FTO) Inhibitors.,10.1021/acsptsci.4c00533
39662594,Lipocalin-2 silencing alleviates sepsis-induced liver injury through inhibition of ferroptosis.,10.1016/j.aohep.2024.101756
39638153,Inhibitors of dihydroorotate dehydrogenase synergize with the broad antiviral activity of 4'-fluorouridine.,10.1016/j.antiviral.2024.106046
39637752,"N-Phenyl ureidobenzenesulfonates, a novel class of human dihydroorotate dehydrogenase inhibitors inducing differentiation and apoptosis in acute myeloid leukemia cells.",10.1016/j.biopha.2024.117717
39620199,Virtual screening and molecular dynamics studies of novel small molecules targeting Schistosoma mansoni DHODH: identification of potential inhibitors.,10.1007/s40203-024-00281-6
39608644,Molecular analysis of the 2022 mpox outbreak and antiviral activity of dihydroorotate dehydrogenase inhibitors against orthopoxviruses.,10.1016/j.antiviral.2024.106043
39557682,Mechanisms of S-phase arrest and mitochondrial dysfunction in complex III by DHODH inhibitors in tumorigenic TNBC cells.,10.1007/s00418-024-02339-0
39493470,To quest new targets of Plasmodium parasite and their potential inhibitors to combat antimalarial drug resistance.,10.1007/s12639-024-01687-x
39475586,"Intrinsic Natural Resistance of Various Plant Pathogens to Ipflufenoquin, a New DHODH (Dihydroorotate Dehydrogenase)-inhibiting Fungicide, in Relation to Unaltered Amino Acid Sequence of the Target Site.",10.1094/PDIS-04-24-0844-RE
39450509,"Synthesis, XRD structural analysis and theoretical studies of a potential inhibitor against rheumatoid arthritis (RA).",10.1107/S2053229624010106
39377943,The DHODH inhibitor teriflunomide impedes cell proliferation and enhances chemosensitivity to daunorubicin (DNR) in T-cell acute lymphoblastic leukemia.,10.1007/s00277-024-05998-0
39325045,Development of a machine learning-based target-specific scoring function for structure-based binding affinity prediction for human dihydroorotate dehydrogenase inhibitors.,10.1002/jcc.27510
39306285,Orally bioavailable RORγ/DHODH dual host-targeting small molecules with broad-spectrum antiviral activity.,10.1016/j.antiviral.2024.106008
39284456,Identification of isoquinolinone DHODH inhibitor isosteres.,10.1016/j.bmcl.2024.129965
39279497,Bone marrow stromal cells enhance differentiation of acute myeloid leukemia induced by pyrimidine synthesis inhibitors.,10.1152/ajpcell.00413.2024
39264908,"Computer-aided discovery of novel SmDHODH inhibitors for schistosomiasis therapy: Ligand-based drug design, molecular docking, molecular dynamic simulations, drug-likeness, and ADMET studies.",10.1371/journal.pntd.0012453
39241585,A comprehensive review of synthetic strategies and SAR studies for the discovery of PfDHODH inhibitors as antimalarial agents. Part 2: Non-DSM compounds.,10.1016/j.bioorg.2024.107754
39195509,Metabolic Plasticity of Glioblastoma Cells in Response to DHODH Inhibitor BAY2402234 Treatment.,10.3390/metabo14080413
39149561,Radiosynthesis of [(18)F]brequinar for in vivo PET imaging of hDHODH for potential studies of acute myeloid leukemia and cancers.,10.1039/d4md00433g
39067646,CD44-hyaluronan mediating endocytosis of iron-platinum alloy nanoparticles induces ferroptotic cell death in mesenchymal-state lung cancer cells with tyrosine kinase inhibitor resistance.,10.1016/j.actbio.2024.07.020
38973593,DHODH inhibition enhances the efficacy of immune checkpoint blockade by increasing cancer cell antigen presentation.,10.7554/eLife.87292
38941701,Discovery of piperine derivatives as inhibitors of human dihydroorotate dehydrogenase to induce ferroptosis in cancer cells.,10.1016/j.bioorg.2024.107594
38918775,Targeted inhibition of DHODH is synergistic with BCL2 blockade in HGBCL with concurrent MYC and BCL2 rearrangement.,10.1186/s12885-024-12534-w
38889244,Discovery of JNJ-74856665: A Novel Isoquinolinone DHODH Inhibitor for the Treatment of AML.,10.1021/acs.jmedchem.4c00809
38887198,Synthesis and Characterization of DHODH Inhibitors Based on the Vidofludimus Scaffold with Pronounced Anti-SARS-CoV-2 Activity.,10.1002/cmdc.202400292
38805244,An alternative conformation of the N-terminal loop of human dihydroorotate dehydrogenase drives binding to a potent antiproliferative agent.,10.1107/S2059798324004066
38757985,Classical swine fever virus non-structural protein 4A recruits dihydroorotate dehydrogenase to facilitate viral replication.,10.1128/jvi.00494-24
38731401,In Silico Comparison of Bioactive Compounds Characterized from Azadirachta indica with an FDA-Approved Drug against Schistosomal Agents: New Insight into Schistosomiasis Treatment.,10.3390/molecules29091909
38724483,Structural and Functional Analyses of Inhibition of Human Dihydroorotate Dehydrogenase by Antiviral Furocoumavirin.,10.1021/acs.biochem.4c00120
38646934,Pyrimidine depletion enhances targeted and immune therapy combinations in acute myeloid leukemia.,10.1172/jci.insight.173646
38613925,"Discovery of a new class of potent pyrrolo[3,4-c]quinoline-1,3-diones based inhibitors of human dihydroorotate dehydrogenase: Synthesis, pharmacological and toxicological evaluation.",10.1016/j.bioorg.2024.107359
38575587,POLQ inhibition attenuates the stemness and ferroptosis resistance in gastric cancer cells via downregulation of dihydroorotate dehydrogenase.,10.1038/s41419-024-06618-5
38558052,Pivotal role of dihydroorotate dehydrogenase as a therapeutic target in adult T-cell leukemia.,10.1111/ejh.14209
38552939,Involvement of ferroptosis in eribulin-induced cytotoxicity in ovarian clear cell carcinoma.,10.1016/j.ejphar.2024.176544
38543260,Safety and Tolerability of KIO-101 Eye Drops in Healthy Volunteers and Patients with Ocular Surface Disease-A Phase I Study.,10.3390/pharmaceutics16030367
38505861,Discovery of Alternative Binding Poses through Fragment-Based Identification of DHODH Inhibitors.,10.1021/acsmedchemlett.3c00543
38499823,The AI-driven Drug Design (AIDD) platform: an interactive multi-parameter optimization system integrating molecular evolution with physiologically based pharmacokinetic simulations.,10.1007/s10822-024-00552-6
38496952,Unveiling the Antiviral Capabilities of Targeting Human Dihydroorotate Dehydrogenase against SARS-CoV-2.,10.1021/acsomega.3c07845
38493638,"A comprehensive review of synthetic strategies and SAR studies for the discovery of PfDHODH inhibitors as antimalarial agents. Part 1: triazolopyrimidine, isoxazolopyrimidine and pyrrole-based (DSM) compounds.",10.1016/j.bioorg.2024.107249
38480915,DHODH inhibition represents a therapeutic strategy and improves abiraterone treatment in castration-resistant prostate cancer.,10.1038/s41388-024-03005-4
38452275,Mitochondria-Targeted Prodrug Nanoassemblies for Efficient Ferroptosis-Based Therapy via Devastating Ferroptosis Defense Systems.,10.1021/acsnano.3c10133
38423231,A novel mitochondria-targeting DHODH inhibitor induces robust ferroptosis and alleviates immune suppression.,10.1016/j.phrs.2024.107115
38332874,Retinoblastoma vulnerability to combined de novo and salvage pyrimidine ribonucleotide synthesis pharmacologic blockage.,10.1016/j.heliyon.2023.e23831
38235544,"Identification of dihydroorotate dehydrogenase inhibitor, vidofludimus, as a potent and novel inhibitor for influenza virus.",10.1002/jmv.29372
38175956,Discovery of Nanomolar Inhibitors for Human Dihydroorotate Dehydrogenase Using Structure-Based Drug Discovery Methods.,10.1021/acs.jcim.3c01358
38140764,Mechanism of ferroptosis in breast cancer and research progress of natural compounds regulating ferroptosis.,10.1111/jcmm.18044
38136869,Cloning and Characterization of Yak DHODH Gene and Its Functional Studies in a Bisphenol S-Induced Ferroptosis Model of Fetal Fibroblasts.,10.3390/ani13243832
38136273,Inhibition of DHODH Enhances Replication-Associated Genomic Instability and Promotes Sensitivity in Endometrial Cancer.,10.3390/cancers15245727
38065572,Quantitative Systems Toxicology Modeling Informed Safe Dose Selection of Emvododstat in Acute Myeloid Leukemia Patients.,10.1002/cpt.3136
38042225,Menaquinone-4 attenuates ferroptosis by upregulating DHODH through activation of SIRT1 after subarachnoid hemorrhage.,10.1016/j.freeradbiomed.2023.11.031
37988466,A Novel mechanism of herbicide action through disruption of pyrimidine biosynthesis.,10.1073/pnas.2313197120
37984761,Drug repurposing screen identifies vidofludimus calcium and pyrazofurin as novel chemical entities for the development of hepatitis E interventions.,10.1016/j.virs.2023.11.006
37942637,Recent advances on patents of Plasmodium falciparum dihydroorotate dehydrogenase (PfDHODH) inhibitors as antimalarial agents.,10.1080/13543776.2023.2280596
37926553,Discovery a series of novel inhibitors of human dihydroorotate dehydrogenase: Biological activity evaluation and molecular docking.,10.1111/cbdd.14388
37897437,Deciphering Interactions between Potential Inhibitors and the Plasmodium falciparum DHODH Enzyme: A Computational Perspective.,10.1021/acs.jpcb.3c05738
37875895,Brequinar inhibits African swine fever virus replication in vitro by activating ferroptosis.,10.1186/s12985-023-02204-x
37870434,Discovery and Optimization of Novel hDHODH Inhibitors for the Treatment of Inflammatory Bowel Disease.,10.1021/acs.jmedchem.3c01365
37869665,A bacterial quorum sensing signal is a potent inhibitor of de novo pyrimidine biosynthesis in the globally abundant Emiliania huxleyi.,10.3389/fmicb.2023.1266972
37859742,Dihydroorotate dehydrogenase promotes cell proliferation and suppresses cell death in esophageal squamous cell carcinoma and colorectal carcinoma.,10.21037/tcr-23-136
37852795,"Absorption, metabolism and excretion of (14)C-emvododstat following repeat daily oral dose administration in human volunteers using a combination of microtracer radioactivity and high radioactivity doses.",10.1124/dmd.123.001471
37852322,Mechanisms of antiviral activity of the new hDHODH inhibitor MEDS433 against respiratory syncytial virus replication.,10.1016/j.antiviral.2023.105734
37821729,"Parasitic Protozoans: Exploring the Potential of N,N'-Bis[2-(5-bromo-7-azabenzimidazol-1-yl)-2-oxoethyl]ethylene-1,3-Diamine and Its Cyclohexyl-1,2-diamine Analogue as TryR and Pf-DHODH Inhibitors.",10.1007/s11686-023-00719-5
37776013,Revelation of potential drug targets of luteolin in Plasmodium falciparum through multi-target molecular dynamics simulation studies.,10.1080/07391102.2023.2263875
37752234,Blockade of de novo pyrimidine biosynthesis triggers autophagic degradation of oncoprotein FLT3-ITD in acute myeloid leukemia.,10.1038/s41388-023-02848-7
37744270,Identification of a dihydroorotate dehydrogenase inhibitor that inhibits cancer cell growth by proteomic profiling.,10.32604/or.2023.030241
37737220,Diverse evolutionary pathways challenge the use of collateral sensitivity as a strategy to suppress resistance.,10.7554/eLife.85023
37717657,Mitochondrial-targeted brequinar liposome boosted mitochondrial-related ferroptosis for promoting checkpoint blockade immunotherapy in bladder cancer.,10.1016/j.jconrel.2023.09.024
37665563,"Discovery of dual-target natural antimalarial agents against DHODH and PMT of Plasmodium falciparum: pharmacophore modelling, molecular docking, quantum mechanics, and molecular dynamics simulations.",10.1080/1062936X.2023.2251876
37648673,DHODH: a promising target in the treatment of T-cell acute lymphoblastic leukemia.,10.1182/bloodadvances.2023010337
37583831,Novel Dihydroorotate Dehydrogenase Inhibitors for Treating Acute Myelogenous Leukemia.,10.1021/acsmedchemlett.3c00299
37579695,Targeting DHODH reveals therapeutic opportunities in ATRA-resistant acute promyelocytic leukemia.,10.1016/j.biopha.2023.115314
37551689,Medicinal chemistry approaches for the discovery of Plasmodium falciparum dihydroorotate dehydrogenase inhibitors as antimalarial agents.,10.4155/fmc-2023-0113
37499699,Advanced virtual screening enables the discovery of a host-targeting and broad-spectrum antiviral agent.,10.1016/j.antiviral.2023.105681
37465297,Novel Dihydroorotate Dehydrogenase Inhibitors for Treating Acute Myelogenous Leukemia.,10.1021/acsmedchemlett.3c00234
37407687,DHODH inhibitors sensitize to ferroptosis by FSP1 inhibition.,10.1038/s41586-023-06269-0
37407682,Reply to: DHODH inhibitors sensitize to ferroptosis by FSP1 inhibition.,10.1038/s41586-023-06270-7
37278823,"A clinical pharmacokinetic drug-drug interaction study between dextromethorphan and emvododstat, a potent anti-SARS-CoV-2 dihydroorotate dehydrogenase inhibitor.",10.1007/s00228-023-03513-4
37278160,Biochemical characterization of Mycobacterium tuberculosis dihydroorotate dehydrogenase and identification of a selective inhibitor.,10.1002/1873-3468.14680
37253718,Lysyl oxidase-like 3 restrains mitochondrial ferroptosis to promote liver cancer chemoresistance by stabilizing dihydroorotate dehydrogenase.,10.1038/s41467-023-38753-6
37150227,Kinetic and structural studies of Mycobacterium tuberculosis dihydroorotate dehydrogenase reveal new insights into class 2 DHODH inhibition.,10.1016/j.bbagen.2023.130378
37147673,The Warburg effect modulates DHODH role in ferroptosis: a review.,10.1186/s12964-022-01025-9
37127285,Development of a Potent Nurr1 Agonist Tool for In Vivo Applications.,10.1021/acs.jmedchem.3c00415
37111739,A Dual Therapy of Nanostructured Lipid Carrier Loaded with Teriflunomide-A Dihydro-Orotate Dehydrogenase Inhibitor and an miR-155-Antagomir in Cuprizone-Induced C57BL/6J Mouse.,10.3390/pharmaceutics15041254
37100963,"Treatment of Invasive Aspergillosis: How It's Going, Where It's Heading.",10.1007/s11046-023-00727-z
37088711,"Tiratricol, a thyroid hormone metabolite, has potent inhibitory activity against human dihydroorotate dehydrogenase.",10.1111/cbdd.14256
37070439,A Patent Review of Human Dihydroorotate Dehydrogenase (hDHODH) Inhibitors as Anticancer Agents and their Other Therapeutic Applications (1999-2022).,10.2174/1574892818666230417094939
37068330,FDA approved drugs with antiviral activity against SARS-CoV-2: From structure-based repurposing to host-specific mechanisms.,10.1016/j.biopha.2023.114614
37066260,DHODH inhibition enhances the efficacy of immune checkpoint blockade by increasing cancer cell antigen presentation.,10.1101/2023.04.03.535399
37058473,GSK-3β inhibition alleviates arthritis pain via reducing spinal mitochondrial reactive oxygen species level and inflammation.,10.1371/journal.pone.0284332
37026522,LY294002 alleviates bone cancer pain by reducing mitochondrial dysfunction and the inflammatory response.,10.3892/ijmm.2023.5245
36942513,Dihydroorotate dehydrogenase regulates ferroptosis in neurons after spinal cord injury via the P53-ALOX15 signaling pathway.,10.1111/cns.14150
36938928,"A pharmacokinetic drug-drug interaction study between rosuvastatin and emvododstat, a potent anti-SARS-CoV-2 (COVID-19) DHODH (dihydroorotate dehydrogenase) inhibitor.",10.1002/prp2.1076
36825574,Screening for DAX1/EWS-FLI1 functional inhibitors identified dihydroorotate dehydrogenase as a therapeutic target for Ewing's sarcoma.,10.1002/cam4.5741
36824743,Direct long read visualization reveals metabolic interplay between two antimalarial drug targets.,10.1101/2023.02.13.528367
36788244,A genome-wide CRISPR-Cas9 knockout screen identifies FSP1 as the warfarin-resistant vitamin K reductase.,10.1038/s41467-023-36446-8
36760044,Computational multi-target approach to target essential enzymes of Leishmania donovani using comparative molecular dynamic simulations and MMPBSA analysis.,10.1002/pca.3213
36737723,Depletion of SOD2 enhances nasopharyngeal carcinoma cell radiosensitivity via ferroptosis induction modulated by DHODH inhibition.,10.1186/s12885-022-10465-y
36700627,High-Throughput Quantitative Glycomics Enabled by 12-plex Isobaric Multiplex Labeling Reagents for Carbonyl-Containing Compound (SUGAR) Tags.,10.1021/acs.jproteome.2c00773
36700425,"Absorption, distribution, metabolism and excretion of (14)C-Emvododstat following a single oral dose in rats and dogs.",10.1080/00498254.2023.2171925
36694894,A New Medical Therapy for Multiple Endocrine Neoplasia Type 1?,10.17925/EE.2022.18.2.86
36692468,Recent approaches in the drug research and development of novel antimalarial drugs with new targets.,10.2478/acph-2023-0001
36622364,Synergistic Functional Nanomedicine Enhances Ferroptosis Therapy for Breast Tumors by a Blocking Defensive Redox System.,10.1021/acsami.2c19585
36563943,ML390 inhibits enterovirus 71 replication by targeting de novo pyrimidine biosynthesis pathway.,10.1016/j.antiviral.2022.105498
36512492,Repurposed dihydroorotate dehydrogenase inhibitors with efficacy against drug-resistant Acinetobacter baumannii.,10.1073/pnas.2213116119
36490203,Small-molecule metabolites in SARS-CoV-2 treatment: a comprehensive review.,10.1515/hsz-2022-0323
